disability,sex,age_group,activity,success,cost_per_day,top_foods
No disability,Female,19_30,sedentary,True,2.2784274290845543,"low-fat milk (12.50*100g), rice long grain (2.06*100g), Tomatoes, canned (1.39*100g), black beans, canned (0.39*100g), whole wheat bread (0.14*100g)"
No disability,Female,19_30,moderate,True,2.434421562071108,"low-fat milk (12.50*100g), rice long grain (3.08*100g), Tomatoes, canned (1.20*100g), black beans, canned (0.35*100g), Pineapple, fresh (0.19*100g)"
No disability,Female,19_30,active,True,2.5907783502849266,"low-fat milk (12.50*100g), rice long grain (4.09*100g), Tomatoes, canned (1.02*100g), black beans, canned (0.31*100g), Pineapple, fresh (0.25*100g)"
No disability,Female,31_50,sedentary,True,2.1744313404268523,"low-fat milk (12.50*100g), Tomatoes, canned (1.51*100g), rice long grain (1.38*100g), black beans, canned (0.42*100g), whole wheat bread (0.15*100g)"
No disability,Female,31_50,moderate,True,2.31482606011475,"low-fat milk (12.50*100g), rice long grain (2.30*100g), Tomatoes, canned (1.34*100g), black beans, canned (0.38*100g), Pineapple, fresh (0.15*100g)"
No disability,Female,31_50,active,True,2.455220779802648,"low-fat milk (12.50*100g), rice long grain (3.21*100g), Tomatoes, canned (1.18*100g), black beans, canned (0.35*100g), Pineapple, fresh (0.20*100g)"
No disability,Female,51U,sedentary,True,2.0726752043520613,"low-fat milk (12.50*100g), Tomatoes, canned (1.63*100g), rice long grain (0.76*100g), black beans, canned (0.41*100g), whole wheat bread (0.14*100g)"
No disability,Female,51U,moderate,True,2.1940853447156323,"low-fat milk (12.50*100g), rice long grain (1.57*100g), Tomatoes, canned (1.48*100g), black beans, canned (0.41*100g), whole wheat bread (0.13*100g)"
No disability,Female,51U,active,True,2.3189531826097767,"low-fat milk (12.50*100g), rice long grain (2.38*100g), Tomatoes, canned (1.33*100g), black beans, canned (0.38*100g), Pineapple, fresh (0.15*100g)"
No disability,Male,19_30,sedentary,True,2.6505663866712874,"low-fat milk (12.50*100g), Tomatoes, canned (2.66*100g), rice long grain (2.32*100g), Pineapple, fresh (0.23*100g), whole wheat bread (0.20*100g)"
