p2_food,matched_to,score
white flour,"Egg, white, raw, fresh",86
rice long grain ,"Babyfood, dinner, turkey and rice, strained",86
spaghetti ,"Babyfood, dinner, spaghetti and tomato and meat, junior",90
white bread,"Fast foods, submarine sandwich, cold cut on white bread with lettuce and tomato",90
whole wheat bread ,"Bread, pita, whole-wheat",95
chocolate chip cookie ,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",86
ground chuck beef ,"Spices, mustard seed, ground",86
ground beef ,"Fast foods, nachos, with cheese, beans, ground beef, and tomatoes",90
lean ground beef ,"Spices, cinnamon, ground",86
stew beef ,"Babyfood, meat, beef, strained",86
"steak, round","Tomatoes, red, ripe, raw, year round average",86
"steak, sirloin","Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, raw",86
bacon,"Animal fat, bacon grease",90
pork chops ,"Soup, bean with pork, canned, condensed",86
ham,"Ham, chopped, canned",90
"chicken legs, bone-in","Babyfood, meat, chicken, strained",86
grade A eggs ,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",86
whole milk ,"Cheese, mozzarella, whole milk",90
american cheese ,"Cheese, cottage, creamed, large or small curd",86
cheddar cheese ,"Cheese, cheddar",95
"ice cream, regular, bulk ","Cheese, cream",86
white sugar ,"Egg, white, raw, fresh",86
ground coffee ,"Cream, fluid, light (coffee cream or table cream)",86
potato chip ,"Snacks, potato chips, barbecue-flavor",90
"chicken breast, boneless ","Babyfood, meat, chicken sticks, junior",86
low-fat milk,"Milk dessert bar, frozen, made from lowfat milk",86
"yogurt, whole-fat plain ","Cheese, mozzarella, whole milk, low moisture",86
"butter, stick ","Butter, whipped, with salt",86
acorn squash ,"Babyfood, vegetables, squash, strained",86
"artichoke, fresh ","Egg, duck, whole, fresh, raw",86
"artichoke, canned","Milk, canned, condensed, sweetened",86
"asparagus, fresh ","Egg, duck, whole, fresh, raw",86
"asparagus, canned","Soup, cream of asparagus, canned, condensed",90
"asparagus, frozen","Asparagus, frozen, cooked, boiled, drained, without salt",90
avacado ,"Avocados, raw, all commercial varieties",77
"beets, canned ","Beets, canned, drained solids",90
"black beans, canned","Milk, canned, condensed, sweetened",86
"black beans, dried","Spices, coriander leaf, dried",86
"blackeye peas, canned","Milk, canned, condensed, sweetened",86
"blackeye peas, dried ","Babyfood, vegetables, peas, strained",86
"broccoli florets, fresh ","Basil, fresh",86
"broccoli heads, fresh ","Basil, fresh",86
"broccoli, frozen ","Broccoli, frozen, chopped, unprepared",90
"brussels sprouts, fresh ","Brussels sprouts, raw",86
"brussels sprouts, frozen ","Brussels sprouts, frozen, cooked, boiled, drained, without salt",90
butternut squash,"Babyfood, vegetable, butternut squash and corn",90
green cabbage ,"Babyfood, vegetables, green beans, strained",86
red cabbage ,"Spices, pepper, red or cayenne",86
"sauerkraut, canned ","Sauerkraut, canned, solids and liquids",90
"carrots, whole, fresh ","Cheese, mozzarella, whole milk, low moisture",86
"carrots, canned","Carrots, canned, regular pack, drained solids",90
"carrots, frozen ","Carrots, frozen, unprepared",90
cauliflower florets ,"Cauliflower, cooked, boiled, drained, without salt",86
cauliflower heads  ,"Cauliflower, cooked, boiled, drained, without salt",86
"cauliflower, frozen ","Cauliflower, frozen, unprepared",90
celery ,"Spices, celery seed",90
"collard greens, fresh ",Lard,90
"collard greens, frozen ",Lard,90
"corn, fresh ","Egg, whole, raw, fresh",86
"corn, canned ","Milk, canned, condensed, sweetened",86
"corn, frozen ","Dessert topping, semi solid, frozen",86
"Cucumbers, fresh ","Egg, duck, whole, fresh, raw",86
"Great northern beans, canned","Milk, canned, evaporated, with added vitamin D and without added vitamin A",86
"Great northern beans, dried","Whey, acid, dried",86
"Green beans, fresh","Egg, duck, whole, fresh, raw",86
"Green beans, canned","Milk, canned, condensed, sweetened",86
"Green beans, frozen ","Dessert topping, semi solid, frozen",86
"Green peas, canned","Milk, canned, condensed, sweetened",86
"Green peas, frozen ","Dessert topping, semi solid, frozen",86
Green peppers,"Tomato products, canned, sauce, with onions, green peppers, and celery",90
"Kale, fresh ","Egg, whole, raw, fresh",86
"Kale, frozen ","Kale, frozen, cooked, boiled, drained, without salt",90
"Kidney beans, canned ","Milk, canned, condensed, sweetened",86
"Kidney beans, dried","Spices, coriander leaf, dried",86
Lentils,"Lentils, raw",90
"Lettuce, iceberg","Lettuce, iceberg (includes crisphead types), raw",90
"Lettuce, romaine, heads","Lettuce, butterhead (includes boston and bibb types), raw",86
"Lettuce, romaine, hearts","Lettuce, butterhead (includes boston and bibb types), raw",86
"Lima beans, canned","Milk, canned, condensed, sweetened",86
"Lima beans, frozen ","Dessert topping, semi solid, frozen",86
"Lima beans, dried","Spices, coriander leaf, dried",86
canned mixed vegetables: peas and carrots,"Cream, fluid, half and half",86
frozen mixed vegetables: peas and carrots,"Cream, fluid, half and half",86
"frozen mixed vegetables: carrots, peas, corn, and green beans","Cream, fluid, half and half",86
"frozen mixed vegetables: broccoli, cauliflower, and carrots","Cream, fluid, half and half",86
"Mushrooms, whole","Cheese, mozzarella, whole milk",86
"Mushrooms, pre-sliced","Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",86
"Mustard greens, canned","Milk, canned, condensed, sweetened",86
"Mustard greens, frozen","Mustard greens, frozen, cooked, boiled, drained, without salt",90
"Navy beans, canned","Milk, canned, condensed, sweetened",86
"Navy beans, dried","Spices, coriander leaf, dried",86
"Okra, fresh ","Egg, whole, raw, fresh",86
"Okra, frozen ","Okra, frozen, unprepared",90
"Olives, canned","Milk, canned, condensed, sweetened",86
"Onions, fresh ","Egg, whole, raw, fresh",86
"Pinto beans, canned ","Milk, canned, condensed, sweetened",86
"Pinto beans, dried ","Spices, coriander leaf, dried",86
"Potatoes, fresh ","Egg, duck, whole, fresh, raw",86
"Potatoes, french fries","Potatoes, french fried, all types, salt added in processing, frozen, home-prepared, oven heated",88
"Potatoes, canned","Potatoes, canned, drained solids, no salt added",90
"Pumpkin, canned","Pumpkin, canned, without salt",90
Radish,"Horseradish, prepared",90
Red bell peppers,"Spices, pepper, red or cayenne",86
"Spinach, fresh ","Egg, whole, raw, fresh",86
"Spinach, canned ","Spinach, canned, regular pack, drained solids",90
"Spinach, frozen ","Spinach, frozen, chopped or leaf, unprepared",90
