Food,Capric acid,Lauric acid,Myristic acid,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,Linoleic Acid,Linolenic Acid,Stearidonic acid,Eicosenoic acid,Arachidonic acid,Eicosapentaenoic acid,Erucic acid,Docosapentaenoic acid,Docosahexaenoic acid,Butyric acid,Caproic acid,Caprylic acid,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Dietary Fiber,"Folate, DFE","Folate, food",Folate,Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,Vitamin A,Vitamin B12,"Vitamin B-12, added",Vitamin B6,Vitamin C,Vitamin D,Vitamin E,"Vitamin E, added",Vitamin K,Water,Zinc
"Papaya, fresh ",0.006,0.0,0.033,2.231,0.201,0.811,3.411,1.555,0.048,0.0,0.027,0.188,0.0,0.0,0.007,0.058,0.004,0.0,0.004,0.0,0,56.0,0.72,0,0.0,372.0,293.8,0.072,9,143.0,3.658,1.911,3.126,0.0,47.0,47.0,47.0,0,1.75,503,0,12.0,0.075,198.0,138.0,12.56,160.0,0.457,30.7,142.0,0.37,0,0.04,9.51,160.0,0.89,0.0,0.17,0.0,2.0,1.05,0.0,0.3,76.15,1.29
Watermelon,0.001,0.001,0.0,0.008,0.0,0.006,0.037,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,7.55,0,303.0,0.0,4.1,0.042,78,30.0,0.037,0.05,0.016,0.4,3.0,3.0,3.0,0,0.24,8,4532,10.0,0.178,11.0,112.0,0.61,0.0,0.021,0.4,1.0,6.2,0,0.033,0.15,28.0,0.0,0.0,0.045,8.1,0.0,0.05,0.0,0.1,91.45,0.1
low-fat milk,0.004,0.002,0.017,0.378,0.006,0.399,0.455,0.05,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.001,0.002,0.0,2,184.0,33.09,0,135.0,7.0,19.6,0.103,0,147.0,0.462,0.052,0.81,6.6,4.0,4.0,4.0,0,0.53,1,0,20.0,0.126,83.0,316.0,4.41,60.0,0.129,2.2,92.0,22.06,69,0.023,1.47,71.0,0.14,0.0,0.023,0.9,0.1,0.2,0.0,0.6,61.43,0.43
whole milk ,0.582,0.69,2.189,5.331,0.597,2.442,5.649,0.393,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805,0.446,0.257,0.0,0,505.0,2.19,0,57.0,79.0,15.4,0.011,0,300.0,6.573,0.765,13.152,0.0,7.0,7.0,7.0,0,0.44,0,0,20.0,0.104,354.0,76.0,22.17,174.0,0.283,17.0,627.0,1.03,0,0.03,22.35,179.0,2.28,0.0,0.037,0.0,0.4,0.19,0.0,2.3,50.01,2.92
white flour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,0.73,0,0.0,0.0,1.1,0.023,0,52.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0,0.08,0,0,11.0,0.105,15.0,163.0,10.9,0.0,0.439,20.0,166.0,0.71,0,0.004,0.17,0.0,0.09,0.0,0.005,0.0,0.0,0.0,0.0,0.0,87.57,0.03
Bananas,0.0,0.0,0.001,0.025,0.002,0.001,0.007,0.012,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,15.3,17,17.0,0.0,4.1,0.04,0,56.0,0.01,0.019,0.035,1.6,6.0,6.0,6.0,0,0.2,0,0,10.0,0.183,7.0,88.0,0.4,0.0,0.031,0.6,0.0,0.38,0,0.012,0.1,2.0,0.0,0.0,0.115,16.7,0.0,0.6,0.0,0.0,84.0,0.06
"Pineapple, fresh ",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
"Cantaloupe, fresh ",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
green cabbage ,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.058,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39.0,6.29,15,197.0,0.0,22.6,0.03,17,27.0,0.0,0.116,0.039,2.2,24.0,24.0,24.0,0,0.67,526,0,20.0,0.361,41.0,146.0,1.2,0.0,0.079,0.1,7.0,1.88,0,0.026,0.17,18.0,0.0,0.0,0.038,0.3,0.0,0.07,0.0,42.4,91.85,0.22
white sugar ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,0.73,0,0.0,0.0,1.1,0.023,0,52.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0,0.08,0,0,11.0,0.105,15.0,163.0,10.9,0.0,0.439,20.0,166.0,0.71,0,0.004,0.17,0.0,0.09,0.0,0.005,0.0,0.0,0.0,0.0,0.0,87.57,0.03
